task_id,seed,success,failure_stage,failure_message,attempt,critic_iterations,wallclock_s,oracle_steps,tokens_in_total,tokens_out_total,lerobot_root,manifest_path
wright-lift-the-cube-6fa274ff19,lift the cube,true,,,1,0,33.7,800,8337,893,data/vs-m2,data/vs-m2/manifests/wright-lift-the-cube-6fa274ff19.json
wright-lift-the-red-cube-bee7f4a811,lift the red cube,true,,,1,0,39.0,800,8324,857,data/vs-m2,data/vs-m2/manifests/wright-lift-the-red-cube-bee7f4a811.json
wright-lift-the-blue-cube-2b553eeeed,lift the blue cube,true,,,1,0,33.2,800,8322,906,data/vs-m2,data/vs-m2/manifests/wright-lift-the-blue-cube-2b553eeeed.json
wright-lift-the-green-cube-3400ad2d96,lift the green cube,true,,,2,1,51.3,850,12056,1502,data/vs-m2,data/vs-m2/manifests/wright-lift-the-green-cube-3400ad2d96.json
wright-lift-the-yellow-cube-21df6ab2f7,lift the yellow cube,true,,,1,0,36.1,800,8338,868,data/vs-m2,data/vs-m2/manifests/wright-lift-the-yellow-cube-21df6ab2f7.json
wright-lift-the-small-cube-89edc3ab9c,lift the small cube,true,,,1,0,34.3,800,8349,869,data/vs-m2,data/vs-m2/manifests/wright-lift-the-small-cube-89edc3ab9c.json
wright-lift-the-small-red-cube-1092c2c567,lift the small red cube,false,verify,success_never_fired: success() returned False at terminal state,3,2,64.5,950,15773,2178,,
wright-lift-the-small-blue-cube-79fa06427d,lift the small blue cube,true,,,1,0,35.9,800,8368,883,data/vs-m2,data/vs-m2/manifests/wright-lift-the-small-blue-cube-79fa06427d.json
wright-lift-the-small-green-cube-9ab5898927,lift the small green cube,true,,,1,0,35.7,800,8334,868,data/vs-m2,data/vs-m2/manifests/wright-lift-the-small-green-cube-9ab5898927.json
wright-lift-the-small-yellow-cube-b40878fb10,lift the small yellow cube,true,,,1,0,33.9,800,8337,890,data/vs-m2,data/vs-m2/manifests/wright-lift-the-small-yellow-cube-b40878fb10.json
wright-lift-a-tall-cube-24d7edd2cd,lift a tall cube,true,,,1,0,34.4,800,8339,913,data/vs-m2,data/vs-m2/manifests/wright-lift-a-tall-cube-24d7edd2cd.json
wright-lift-a-cube-near-the-left-side-f0bf0fa80c,lift a cube near the left side,true,,,1,0,35.5,800,8381,891,data/vs-m2,data/vs-m2/manifests/wright-lift-a-cube-near-the-left-side-f0bf0fa80c.json
wright-lift-a-cube-near-the-right-side-bada534b5c,lift a cube near the right side,true,,,1,0,34.8,800,8423,919,data/vs-m2,data/vs-m2/manifests/wright-lift-a-cube-near-the-right-side-bada534b5c.json
wright-lift-a-cube-near-the-back-94184df837,lift a cube near the back,true,,,2,1,47.6,950,12106,1621,data/vs-m2,data/vs-m2/manifests/wright-lift-a-cube-near-the-back-94184df837.json
wright-lift-a-cube-on-the-right-16da7de8e7,lift a cube on the right,true,,,1,0,34.3,800,8332,882,data/vs-m2,data/vs-m2/manifests/wright-lift-a-cube-on-the-right-16da7de8e7.json
wright-lift-a-cube-on-the-left-18aeda5b69,lift a cube on the left,true,,,1,0,33.3,800,8335,868,data/vs-m2,data/vs-m2/manifests/wright-lift-a-cube-on-the-left-18aeda5b69.json
wright-lift-the-orange-cube-a883b21094,lift the orange cube,true,,,2,1,52.9,950,12047,1574,data/vs-m2,data/vs-m2/manifests/wright-lift-the-orange-cube-a883b21094.json
wright-lift-the-purple-cube-4937b10aca,lift the purple cube,true,,,1,0,35.7,800,8355,874,data/vs-m2,data/vs-m2/manifests/wright-lift-the-purple-cube-4937b10aca.json
wright-lift-the-cyan-cube-9e3659c3ab,lift the cyan cube,true,,,1,0,34.1,800,8331,874,data/vs-m2,data/vs-m2/manifests/wright-lift-the-cyan-cube-9e3659c3ab.json
wright-lift-the-magenta-cube-73f60657b4,lift the magenta cube,true,,,1,0,35.9,800,8366,902,data/vs-m2,data/vs-m2/manifests/wright-lift-the-magenta-cube-73f60657b4.json
wright-pick-up-the-cube-78d34abd8c,pick up the cube,true,,,1,0,39.9,800,8346,869,data/vs-m2,data/vs-m2/manifests/wright-pick-up-the-cube-78d34abd8c.json
wright-pick-up-the-small-cube-fc5889a7a0,pick up the small cube,true,,,1,0,35.4,800,8326,870,data/vs-m2,data/vs-m2/manifests/wright-pick-up-the-small-cube-fc5889a7a0.json
wright-pick-up-the-red-cube-0fb6288231,pick up the red cube,true,,,1,0,35.8,800,8338,872,data/vs-m2,data/vs-m2/manifests/wright-pick-up-the-red-cube-0fb6288231.json
wright-pick-up-the-blue-cube-008fb24791,pick up the blue cube,true,,,1,0,34.3,800,8337,859,data/vs-m2,data/vs-m2/manifests/wright-pick-up-the-blue-cube-008fb24791.json
wright-pick-up-the-green-cube-3d9cb2fd5e,pick up the green cube,true,,,1,0,34.9,800,8312,865,data/vs-m2,data/vs-m2/manifests/wright-pick-up-the-green-cube-3d9cb2fd5e.json
wright-pick-the-cube-up-off-the-table-152c479144,pick the cube up off the table,true,,,1,0,37.8,800,8371,893,data/vs-m2,data/vs-m2/manifests/wright-pick-the-cube-up-off-the-table-152c479144.json
wright-pick-the-cube-off-the-table-e042326bac,pick the cube off the table,true,,,1,0,35.0,800,8352,890,data/vs-m2,data/vs-m2/manifests/wright-pick-the-cube-off-the-table-e042326bac.json
wright-pick-up-the-small-red-cube-b71ef59ab7,pick up the small red cube,true,,,2,1,52.3,1050,12109,1617,data/vs-m2,data/vs-m2/manifests/wright-pick-up-the-small-red-cube-b71ef59ab7.json
wright-pick-up-the-small-blue-cube-a00ad68b5a,pick up the small blue cube,true,,,1,0,37.4,800,8321,864,data/vs-m2,data/vs-m2/manifests/wright-pick-up-the-small-blue-cube-a00ad68b5a.json
wright-pick-up-the-small-green-cube-204859ea8c,pick up the small green cube,true,,,1,0,34.2,800,8336,875,data/vs-m2,data/vs-m2/manifests/wright-pick-up-the-small-green-cube-204859ea8c.json
wright-grasp-the-cube-and-lift-bb171cfb2f,grasp the cube and lift,true,,,1,0,36.5,800,8347,890,data/vs-m2,data/vs-m2/manifests/wright-grasp-the-cube-and-lift-bb171cfb2f.json
wright-grasp-the-red-cube-and-lift-7276de388f,grasp the red cube and lift,true,,,1,0,65.8,800,8371,917,data/vs-m2,data/vs-m2/manifests/wright-grasp-the-red-cube-and-lift-7276de388f.json
wright-grasp-the-blue-cube-and-lift-0599c95053,grasp the blue cube and lift,true,,,1,0,35.3,800,8354,882,data/vs-m2,data/vs-m2/manifests/wright-grasp-the-blue-cube-and-lift-0599c95053.json
wright-grasp-the-small-cube-and-lift-167d7a6732,grasp the small cube and lift,true,,,1,0,34.8,800,8383,914,data/vs-m2,data/vs-m2/manifests/wright-grasp-the-small-cube-and-lift-167d7a6732.json
wright-grasp-the-small-green-cube-and-l-8c38d8d6f2,grasp the small green cube and lift,true,,,1,0,36.7,800,8373,907,data/vs-m2,data/vs-m2/manifests/wright-grasp-the-small-green-cube-and-l-8c38d8d6f2.json
wright-hoist-the-cube-75a748daed,hoist the cube,false,verify,success_never_fired: success() returned False at terminal state,3,2,80.8,1050,15913,2446,,
